"""conference""","""year""","""doi""","""title""","""citationCount""","""download6weeks""","""download12months""","""downloadAll""","""keywords""","""pageNumber""","""authors"""
CHI,1,http://dx.doi.org/10.1145/365024.365078,Doom as an interface for process management,25,2,40,"1,385",3d user interfaces; design; first-person shooter; games; human factors; metaphors; performance; theory; video games,6,"81100133918, Dennis Chao, Computer Science Department, University of New Mexico, Albuquerque, NM; "
CHI,1,http://dx.doi.org/10.1145/365024.365090,"Shall we mix synthetic speech and human speech?: impact on users' performance, perception, and attitude",9,2,28,770,consistency; email and calendar; human factors; management; performance; speech recognition and synthesis; theory; voice i/o,8,"81100009981, Li Gong; 81452599494, Jennifer Lai; "
CHI,1,http://dx.doi.org/10.1145/365024.365092,"Effects of spatial audio on memory, comprehension, and preference during desktop conferences",17,5,43,711,3d; audio input/output; comprehension; design; focal assurance; management; memory; performance; spatial; user preference,8,"81100522643, Jessica J. Baldis, Human Interface Technology Laboratory, University of Washington, PO Box 352142, Seattle, WA; "
CHI,1,http://dx.doi.org/10.1145/365024.365094,Quiet calls: talking silently on mobile phones,30,3,56,"1,203",communications applications; design; human factors; languages; measurement; performance; sound and music computing; theory; user/machine systems,8,"81100407787, Les Nelson, FX Palo Alto Laboratory, Palo Alto, CA; 81100274421, Sara Bly, Space &amp; Virtuality Studio, The Interactive Institute, Malmo, Sweden; 81100318754, Tomas Sokoler; "
CHI,1,http://dx.doi.org/10.1145/365024.365096,The audio notebook: paper and pen interaction with structured speech,58,5,53,"1,316",acoustic structuring; design; human factors; languages; paper; performance; speech as data; speech recognition and synthesis; user structuring,8,"81100180551, Lisa Stifelman, MIT Media Laboratory, Cambridge, MA; 81100365992, Barry Arons, MIT Media Laboratory, Cambridge, MA; 81100444749, Chris Schmandt, MIT Media Laboratory, Cambridge, MA; "
CHI,1,http://dx.doi.org/10.1145/365024.365097,Does organisation by similarity assist image browsing?,84,9,51,"1,256",design; evaluation/methodology; human factors; image retrieval; interaction styles; management; performance; theory,8,"81100347361, Kerry Rodden, University of Cambridge Computer Laboratory, Pembroke Street, Cambridge CB2 3QG, UK; 81100470296, Wojciech Basalaj, University of Cambridge Computer Laboratory, Pembroke Street, Cambridge CB2 3QG, UK; 81100094737, David Sinclair, AT&T Laboratories Cambridge, Trumpington Street, Cambridge CB2 1QA, UK; 81344500170, Kenneth Wood, AT&T Laboratories Cambridge, Trumpington Street, Cambridge CB2 1QA, UK; "
CHI,1,http://dx.doi.org/10.1145/365024.365098,Using thumbnails to search the Web,62,7,50,"1,390",design; interaction styles; measurement; reliability; theory; web search task; web-based services,8,"81100327302, Allison Woodruff, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA; 81100067252, Andrew Faulring, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA and Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA; 81100414889, Ruth Rosenholtz, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA; 81100423179, Julie Morrsion, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA; 81100252735, Peter Pirolli, Xerox Palo Alto Research Center, 3333 Coyote Hill Rd., Palo Alto, CA; "
CHI,1,http://dx.doi.org/10.1145/365024.365100,On the road and on the Web?: comprehension of synthetic and human speech while driving,9,0,30,816,comprehension; driving performance; human factors; management; performance; speech synthesis; theory; web-based interaction,7,"81452599499, Jennifer Lai, IBM Corporation, T.J. Watson Research Center, Hawthorne, NY; 81100100757, Karen Cheng, IBM Corporation, T.J. Watson Research Center, Hawthorne, NY; 81407594358, Paul Green, University of Michigan, Transportation Research Institute, Ann Arbor, MI; 81100633125, Omer Tsimhoni, University of Michigan, Transportation Research Institute, Ann Arbor, MI; "
CHI,1,http://dx.doi.org/10.1145/365024.365102,Accordion summarization for end-game browsing on PDAs and cellular phones,44,2,17,"1,009",design; html; human factors; management; pda; portable devices; wap; web-based services; www,8,"81100501214, Orkut Buyukkokten, Digital Libraries Lab (InfoLab), Stanford University, Stanford, CA; 81100308969, Hector Garcia-Molina, Digital Libraries Lab (InfoLab), Stanford University, Stanford, CA; 81100130120, Andreas Paepcke, Digital Libraries Lab (InfoLab), Stanford University, Stanford, CA; "
CHI,1,http://dx.doi.org/10.1145/365024.365105,ConNexus to awarenex: extending awareness to mobile users,108,0,49,"1,612",algorithms; computer-mediated communication; cscw; ergonomics; human factors; management; performance; theory,8,"81405592014, John C. Tang, Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; 81310499777, Nicole Yankelovich, Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; 81385592906, James Begole, Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; 81328490974, Max Van Kleek, MIT and Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; 81414609896, Francis Li, U.C Berkeley and Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; 81414617247, Janak Bhalodia, Sun Microsystems Laboratories, 901 San Antonio Road, Palo Alto, CA; "
